,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,b969a2,Li4Fe3S2O3,0.05901788937500019,Li2FeSO+FeO,0.03674800229166664,FeO+Li2S,059d5aa7-cef9-47eb-bfa1-ff41cb075c4b,pbe,-5.3500771191666665
1,953f4c,Li4Fe3S2O3,0.08585131937500012,Li2FeSO+FeO,0.06358143229166657,FeO+Li2S,2596cea6-d3eb-4a3a-bb09-18ab7d9db641,pbe,-5.323243689166667
2,db8465,Li4Fe3S2O3,0.10036536437499954,Li2FeSO+FeO,0.078095477291666,FeO+Li2S,9223b886-c943-4c34-aa0b-f519450622a5,pbe,-5.308729644166667
3,012b6e,Li4Fe3S2O3,0.10436829937500036,Li2FeSO+FeO,0.08209841229166681,FeO+Li2S,b314d2df-9cae-4c8f-8a59-bccbdada62a1,pbe,-5.304726709166666
4,99b504,Li4Fe3S2O3,0.10538727520833291,Li2FeSO+FeO,0.08311738812499936,FeO+Li2S,49fa901d-2328-4bfd-a898-d88c049bcfa8,pbe,-5.303707733333334
