,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,a7132e,Li4Fe2S2O3,0.09083935169421409,Li2FeSO+Li2SO4+Li2Fe4S3O2+LiFeO2,0.08481933724747481,Li2SO4+LiFeO2+FeS+Li2S,65294240-b860-42ba-ab11-affeb309b9b1,pbe,-5.242801855909091
1,83213f,Li4Fe2S2O3,0.10011441578512326,Li2FeSO+Li2SO4+Li2Fe4S3O2+LiFeO2,0.09409440133838398,Li2SO4+LiFeO2+FeS+Li2S,55dcb7a3-dad0-4146-8bf2-e13f2c71f066,pbe,-5.233526791818182
2,533cac,Li4Fe2S2O3,0.10097518942148742,Li2FeSO+Li2SO4+Li2Fe4S3O2+LiFeO2,0.09495517497474815,Li2SO4+LiFeO2+FeS+Li2S,4724c9f5-39ee-4f16-914b-ab73bc136034,pbe,-5.232666018181818
3,f14c0b,Li4Fe2S2O3,0.10256915305785075,Li2FeSO+Li2SO4+Li2Fe4S3O2+LiFeO2,0.09654913861111147,Li2SO4+LiFeO2+FeS+Li2S,730aba0e-a684-415c-a017-9e5c947307db,pbe,-5.2310720545454545
4,450c3f,Li4Fe2S2O3,0.11116431305785035,Li2FeSO+Li2SO4+Li2Fe4S3O2+LiFeO2,0.10514429861111108,Li2SO4+LiFeO2+FeS+Li2S,ab994664-1cba-4e4e-8165-ee3cddf6e1cf,pbe,-5.222476894545455
