,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,3cfac9,Li4Fe2SO3,0.0825439897499951,Li2FeSO+Li2FeO2,0.06918205749999995,FeO+Li2FeO2+Li2S,3ced7f75-67eb-4845-a0e6-41e823d1c4bf,pbe,-5.3087526405
1,e5630e,Li4Fe2SO3,0.1031906567499945,Li2FeSO+Li2FeO2,0.08982872449999935,FeO+Li2FeO2+Li2S,f63f9d58-6433-4ccd-9fbb-4dd5ee210d1c,pbe,-5.2881059735000004
2,fe31b0,Li4Fe2SO3,0.10491918024999514,Li2FeSO+Li2FeO2,0.09155724799999998,FeO+Li2FeO2+Li2S,876a0b52-8d7b-48d6-8c7f-fc5a5e687bef,pbe,-5.28637745
3,3cf8dd,Li4Fe2SO3,0.11216693524999499,Li2FeSO+Li2FeO2,0.09880500299999984,FeO+Li2FeO2+Li2S,e6ffb6b3-d255-4a45-b6e7-cbccc8052c64,pbe,-5.279129695
4,9f8716,Li4Fe2SO3,0.11636151124999472,Li2FeSO+Li2FeO2,0.10299957899999956,FeO+Li2FeO2+Li2S,f8c76f40-f1b7-449a-8a80-eb0881fe00fc,pbe,-5.274935119
