,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,cd27d2,Li4FeS2O,0.06175769187499647,Li2FeSO+Li2S,0.04505527656249875,FeO+Li2S,19d73593-3e06-4b8c-bf5e-322c28194145,pbe,-4.6476921625
1,e85d01,Li4FeS2O,0.09587750562499675,Li2FeSO+Li2S,0.07917509031249903,FeO+Li2S,8b49986c-91c3-46e8-9f42-c0241e0a8f6d,pbe,-4.61357234875
2,c22f6e,Li4FeS2O,0.10213054187499715,Li2FeSO+Li2S,0.08542812656249943,FeO+Li2S,05b661ca-deba-4010-91cd-45d0e01fbbf9,pbe,-4.6073193125
