# energy dos(up) dos(down)
-6.385410000000000252e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.381449999999999534e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.377499999999999147e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.373539999999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.369589999999999463e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.365630000000000166e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.361679999999999779e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.357719999999999061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.353770000000000095e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.349809999999999377e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.345860000000000412e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.341899999999999693e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.337949999999999307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.333990000000000009e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.330039999999999623e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.326080000000000325e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.322129999999999939e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.318169999999999220e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.314209999999999923e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.310259999999999536e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.306300000000000239e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.302349999999999852e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.298389999999999134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.294440000000000168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.290479999999999450e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.286529999999999063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.282569999999999766e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.278619999999999379e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.274660000000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.270709999999999695e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.266750000000000398e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.262800000000000011e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.258839999999999293e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.254890000000000327e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.250929999999999609e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.246970000000000312e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.243019999999999925e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.239059999999999206e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.235110000000000241e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.231149999999999523e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.227199999999999136e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.223239999999999839e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.219289999999999452e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.215330000000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.211379999999999768e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.207419999999999050e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.203470000000000084e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.199509999999999366e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.195560000000000400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.191599999999999682e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.187649999999999295e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.183689999999999998e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.179729999999999279e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.175780000000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.171819999999999595e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.167869999999999209e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.163909999999999911e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.159959999999999525e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.156000000000000227e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.152049999999999841e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.148089999999999122e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.144140000000000157e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.140179999999999438e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.136229999999999052e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.132269999999999754e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.128319999999999368e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.124360000000000070e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.120409999999999684e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.116450000000000387e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.112489999999999668e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.108539999999999281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.104579999999999984e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.100629999999999598e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.096670000000000300e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.092719999999999914e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.088759999999999195e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.084810000000000230e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.080849999999999511e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.076899999999999125e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.072939999999999827e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.068989999999999441e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.065030000000000143e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.061079999999999757e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.057119999999999038e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.053170000000000073e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.049209999999999354e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.045260000000000389e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.041299999999999670e+01 1.000000000000000048e-04 -0.000000000000000000e+00
-6.037340000000000373e+01 1.039999999999999952e-02 -0.000000000000000000e+00
-6.033389999999999986e+01 3.372999999999999887e-01 -0.000000000000000000e+00
-6.029429999999999268e+01 3.665999999999999925e+00 -0.000000000000000000e+00
-6.025480000000000302e+01 1.406969999999999921e+01 -0.000000000000000000e+00
-6.021519999999999584e+01 1.987590000000000146e+01 -0.000000000000000000e+00
-6.017569999999999197e+01 1.046330000000000027e+01 -0.000000000000000000e+00
-6.013609999999999900e+01 2.005900000000000016e+00 -0.000000000000000000e+00
-6.009659999999999513e+01 1.335999999999999965e-01 -0.000000000000000000e+00
-6.005700000000000216e+01 2.899999999999999800e-03 -0.000000000000000000e+00
-6.001749999999999829e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.997789999999999111e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.993840000000000146e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.989879999999999427e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.985929999999999040e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.981969999999999743e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.978019999999999357e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.974060000000000059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.970099999999999341e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.966150000000000375e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.962189999999999657e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.958239999999999270e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.954279999999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.950329999999999586e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.946370000000000289e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.942419999999999902e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.938459999999999184e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.934510000000000218e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.930549999999999500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.926599999999999113e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.922639999999999816e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.918689999999999429e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.914730000000000132e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.910779999999999745e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.906819999999999027e+01 4.799999999999999580e-03 -0.000000000000000000e+00
-5.902859999999999729e+01 2.202999999999999958e-01 -0.000000000000000000e+00
-5.898909999999999343e+01 3.158300000000000107e+00 -0.000000000000000000e+00
-5.894950000000000045e+01 1.436369999999999969e+01 -0.000000000000000000e+00
-5.890999999999999659e+01 2.111070000000000135e+01 -0.000000000000000000e+00
-5.887040000000000362e+01 1.008259999999999934e+01 -0.000000000000000000e+00
-5.883089999999999975e+01 1.552999999999999936e+00 -0.000000000000000000e+00
-5.879129999999999256e+01 2.510000000000000009e-01 -0.000000000000000000e+00
-5.875180000000000291e+01 2.411200000000000010e+00 -0.000000000000000000e+00
-5.871219999999999573e+01 1.151069999999999993e+01 -0.000000000000000000e+00
-5.867269999999999186e+01 2.006579999999999941e+01 -0.000000000000000000e+00
-5.863309999999999889e+01 1.302790000000000070e+01 -0.000000000000000000e+00
-5.859359999999999502e+01 3.103299999999999947e+00 -0.000000000000000000e+00
-5.855400000000000205e+01 2.599000000000000199e-01 -0.000000000000000000e+00
-5.851449999999999818e+01 7.300000000000000065e-03 -0.000000000000000000e+00
-5.847489999999999100e+01 1.000000000000000048e-04 -0.000000000000000000e+00
-5.843540000000000134e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.839579999999999416e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.835629999999999029e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.831669999999999732e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.827709999999999013e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.823760000000000048e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-5.819799999999999329e+01 0.000000000000000000e+00 -0.000000000000000000e+00
