,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,13ec32,Li2Fe3S3O,0.0488329156481484,Li2Fe4S3O2+FeS+Li2S,0.027423866018518872,FeO+FeS+Li2S,d6a61ea8-d13e-4287-a58d-bddc213a3ead,pbe,-5.217031038888889
1,704e2f,Li2Fe3S3O,0.04886337898148163,Li2Fe4S3O2+FeS+Li2S,0.027454329351852103,FeO+FeS+Li2S,e3c456f4-a525-4d87-b5da-c4279b073338,pbe,-5.217000575555556
2,e05fc6,Li2Fe3S3O,0.05114587342592625,Li2Fe4S3O2+FeS+Li2S,0.02973682379629672,FeO+FeS+Li2S,faa76b90-3b54-4d2b-b1e0-40c7b885f76e,pbe,-5.214718081111111
3,488a26,Li2Fe3S3O,0.05137685231481548,Li2Fe4S3O2+FeS+Li2S,0.02996780268518595,FeO+FeS+Li2S,c1c6749d-2e64-4c6d-9962-5864f41b6a66,pbe,-5.214487102222222
4,172baa,Li2Fe3S3O,0.0519706384259262,Li2Fe4S3O2+FeS+Li2S,0.030561588796296668,FeO+FeS+Li2S,014f3a66-741a-44a6-a836-732578b3a926,pbe,-5.213893316111111
