,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
28,7c1a6a,Li2Fe4S4O,0.04031403833333336,Li2Fe4S3O2+FeS+Li2S,0.02279754318181837,FeO+FeS+Li2S,59784bbc-3ce3-49f7-bb9b-8bb68d18330f,pbe,-5.2523984654545455
29,87a8a9,Li2Fe4S4O,0.04220550106060639,Li2Fe4S3O2+FeS+Li2S,0.0246890059090914,FeO+FeS+Li2S,a02e7ff4-cdfe-4670-9455-ac303ce1c01b,pbe,-5.250507002727272
30,7d9406,Li4Fe3S4O,0.030539048402778768,Li2Fe4S3O2+FeS+Li2S,0.014482261180555511,FeO+FeS+Li2S,b397ec0f-6f8f-4c66-8802-18e547e9d95a,pbe,-4.918526356666667
31,35cd93,Li4Fe3S4O,0.0394736025694451,Li2Fe4S3O2+FeS+Li2S,0.023416815347221842,FeO+FeS+Li2S,0c397fa6-26ae-410c-b0a9-5251eb4efa49,pbe,-4.9095918025000005
32,7ac087,Li4Fe3S4O,0.04401872840277843,Li2Fe4S3O2+FeS+Li2S,0.027961941180555172,FeO+FeS+Li2S,1e1062a4-5f9a-44ef-9bb2-b625ad6fbf90,pbe,-4.905046676666667
33,83a300,Li4Fe3S4O,0.04931487840277882,Li2Fe4S3O2+FeS+Li2S,0.03325809118055556,FeO+FeS+Li2S,438289ec-e631-4442-8576-8504cd8e1640,pbe,-4.899750526666667
34,7a8411,Li4Fe3S4O,0.05113408090277893,Li2Fe4S3O2+FeS+Li2S,0.03507729368055568,FeO+FeS+Li2S,6d795d27-021d-485d-8123-16b574894ef4,pbe,-4.897931324166667
35,a5ffb0,Li4Fe2S3O,0.04579585950000009,Li2Fe4S3O2+Li2S,0.026527714833332716,FeO+FeS+Li2S,893cf8e8-ffc1-45d1-a5f9-f6908de7c8bf,pbe,-4.8103764315
36,4c1544,Li4Fe2S3O,0.050451036000000116,Li2Fe4S3O2+Li2S,0.03118289133333274,FeO+FeS+Li2S,9dc96d2a-2489-4b38-b9c8-a5d33a9034b7,pbe,-4.805721255
37,f347db,Li4Fe2S3O,0.051009381000000076,Li2Fe4S3O2+Li2S,0.0317412363333327,FeO+FeS+Li2S,37144556-ed81-40da-9527-d1081986d419,pbe,-4.80516291
38,d02c4b,Li4Fe2S3O,0.05335184850000019,Li2Fe4S3O2+Li2S,0.03408370383333281,FeO+FeS+Li2S,4720ad8d-b82d-4efc-986c-5d972993b28a,pbe,-4.8028204425
39,76388f,Li4Fe2S3O,0.055334288000000065,Li2Fe4S3O2+Li2S,0.03606614333333269,FeO+FeS+Li2S,1efb3122-f7c9-484a-bc5e-ac10f973bfa2,pbe,-4.800838003
40,24378f,Li6FeSO3,0.04629965613636333,Li2O+Li2FeO2+Li2S,0.04629965613636333,Li2FeO2+Li2O+Li2S,a02ecb2b-3864-46d8-8721-c063360f9958,pbe,-4.915208826363636
41,b4ea6d,Li6FeSO3,0.05857993249999982,Li2O+Li2FeO2+Li2S,0.05857993249999982,Li2FeO2+Li2O+Li2S,011ba0ec-f2e5-47a5-b6bb-fbd3aa1683bd,pbe,-4.9029285499999995
42,6e7f41,Li6FeSO3,0.07864001886363514,Li2O+Li2FeO2+Li2S,0.07864001886363514,Li2FeO2+Li2O+Li2S,b834f66e-3316-47b6-bb40-cc41206900da,pbe,-4.882868463636364
43,f0ab3f,Li6FeSO3,0.07959102977272625,Li2O+Li2FeO2+Li2S,0.07959102977272625,Li2FeO2+Li2O+Li2S,ba3de23f-573d-40e4-8146-8c723482485a,pbe,-4.881917452727273
44,3e7b04,Li6FeSO3,0.07960995704545404,Li2O+Li2FeO2+Li2S,0.07960995704545404,Li2FeO2+Li2O+Li2S,33463133-d19f-4ca1-aeb0-6db4ee525b00,pbe,-4.881898525454545
45,cc74e4,Li5Fe(SO)2,0.04863786125000047,LiFeO2+Li2S,0.04863786124999958,LiFeO2+Li2S,8baf56d8-41f7-44ef-91b9-32493c5d3721,pbe,-4.82201963
46,491c09,Li5Fe(SO)2,0.052725641750000385,LiFeO2+Li2S,0.0527256417499995,LiFeO2+Li2S,871cef8a-60f9-4b34-872e-9d49b85f498b,pbe,-4.8179318495
47,95f238,Li5Fe(SO)2,0.052734297750000714,LiFeO2+Li2S,0.052734297749999826,LiFeO2+Li2S,fff92c92-6157-411d-8479-9abb9179ff25,pbe,-4.8179231934999995
48,a041c4,Li5Fe(SO)2,0.05398646974999988,LiFeO2+Li2S,0.05398646974999899,LiFeO2+Li2S,ec1e8a4e-a159-43b0-8a42-68810ee47d14,pbe,-4.8166710215
49,9667c9,Li5Fe(SO)2,0.07778132425000006,LiFeO2+Li2S,0.07778132424999917,LiFeO2+Li2S,06659b01-5815-4536-a43b-581e01d7c803,pbe,-4.792876167
50,13ec32,Li2Fe3S3O,0.0488329156481484,Li2Fe4S3O2+FeS+Li2S,0.027423866018518872,FeO+FeS+Li2S,d6a61ea8-d13e-4287-a58d-bddc213a3ead,pbe,-5.217031038888889
51,704e2f,Li2Fe3S3O,0.04886337898148163,Li2Fe4S3O2+FeS+Li2S,0.027454329351852103,FeO+FeS+Li2S,e3c456f4-a525-4d87-b5da-c4279b073338,pbe,-5.217000575555556
52,e05fc6,Li2Fe3S3O,0.05114587342592625,Li2Fe4S3O2+FeS+Li2S,0.02973682379629672,FeO+FeS+Li2S,faa76b90-3b54-4d2b-b1e0-40c7b885f76e,pbe,-5.214718081111111
