,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,89db5b,Li3Fe3S5O,0.1034805996744792,Li2SO4+FeS+Li2S+S,0.1034805996744792,Li2SO4+FeS+Li2S+S,86fb6696-d89c-4f2a-808a-4c0e6b78dfb6,pbe,-4.884688683333334
1,fa388e,Li3Fe3S5O,0.1094375896744797,Li2SO4+FeS+Li2S+S,0.1094375896744797,Li2SO4+FeS+Li2S+S,2f4fc4e0-26aa-4ceb-bad9-145227fbd96c,pbe,-4.878731693333333
2,a44f4d,Li3Fe3S5O,0.1124919096744792,Li2SO4+FeS+Li2S+S,0.1124919096744792,Li2SO4+FeS+Li2S+S,5a93e945-07a2-4106-91f7-3a0ce476eea0,pbe,-4.875677373333334
3,b763f1,Li3Fe3S5O,0.12885457384114574,Li2SO4+FeS+Li2S+S,0.12885457384114574,Li2SO4+FeS+Li2S+S,5ea8dc96-0212-4ff2-802a-70d870d90a87,pbe,-4.859314709166667
4,85b7eb,Li3Fe3S5O,0.1553653088411462,Li2SO4+FeS+Li2S+S,0.1553653088411462,Li2SO4+FeS+Li2S+S,365abbd6-b78c-4e58-8b34-c74c8db63e05,pbe,-4.832803974166667
