,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,4e46ae,LiFe3S4O,0.10492494067708247,Li2SO4+FeS+Li2S+S,0.10492494067708247,Li2SO4+FeS+Li2S+S,a6805d8e-37c6-42e7-a30b-08e0fbba6581,pbe,-5.213077517777778
1,d3b3c4,LiFe3S4O,0.10922572401041553,Li2SO4+FeS+Li2S+S,0.10922572401041553,Li2SO4+FeS+Li2S+S,c87fdcd1-5664-4123-a5c9-ea7c941a146b,pbe,-5.208776734444445
2,a40d94,LiFe3S4O,0.11594053234374968,Li2SO4+FeS+Li2S+S,0.11594053234374968,Li2SO4+FeS+Li2S+S,4bb9814b-9d52-442e-89a8-0a99e13cd789,pbe,-5.202061926111111
3,ae6b6c,LiFe3S4O,0.12036333012152767,Li2SO4+FeS+Li2S+S,0.12036333012152767,Li2SO4+FeS+Li2S+S,cbaecd93-f44b-4e34-bf2d-af22a7d261d1,pbe,-5.197639128333333
4,d0d77d,LiFe3S4O,0.12973277123263838,Li2SO4+FeS+Li2S+S,0.12973277123263838,Li2SO4+FeS+Li2S+S,c52bc0b0-b3a8-4a92-9560-62084a5184ba,pbe,-5.188269687222222
