,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,6de01a,Li6FeS3O,0.04986198727272306,Li2FeSO+Li2S,0.037714776136363426,FeO+Li2S,65901b25-bb03-40c5-a3cf-29138fce269c,pbe,-4.465738749545455
1,25c66f,Li6FeS3O,0.05016209136363248,Li2FeSO+Li2S,0.03801488022727284,FeO+Li2S,2cd2a755-7f19-44bb-8b47-68326dde1a52,pbe,-4.465438645454546
2,97e81c,Li6FeS3O,0.06064266590908751,Li2FeSO+Li2S,0.048495454772727875,FeO+Li2S,409d6d1b-a0c2-4dd8-9939-10da1dc553a0,pbe,-4.454958070909091
3,69aece,Li6FeS3O,0.07112527636363275,Li2FeSO+Li2S,0.05897806522727311,FeO+Li2S,d6336e33-a44e-4e45-88b4-fd05e03ed3f2,pbe,-4.444475460454545
4,2ad8a4,Li6FeS3O,0.0745481168181783,Li2FeSO+Li2S,0.062400905681818664,FeO+Li2S,862603f2-1b30-44b7-a157-b1b0e8e67c22,pbe,-4.44105262
