,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,c39cef,Li2Fe3(SO)2,0.003356443749993332,Li2FeSO+FeO+Li2Fe4S3O2,-0.025475901574073312,FeO+FeS+Li2S,29ebdea0-2abd-47b0-97bf-40a10ff5f8f7,pbe,-5.572475142222222
1,8a392f,Li2Fe3(SO)2,0.013330710972215165,Li2FeSO+FeO+Li2Fe4S3O2,-0.015501634351851479,FeO+FeS+Li2S,35fda52d-cf0d-4d29-8311-2f1cb4325fc9,pbe,-5.5625008750000005
2,f13c8e,Li2Fe3(SO)2,0.023922701527770762,Li2FeSO+FeO+Li2Fe4S3O2,-0.004909643796295882,FeO+FeS+Li2S,8a34991a-1a68-4ce7-bb53-91a547a99a00,pbe,-5.551908884444445
3,9bc0ff,Li2Fe3(SO)2,0.023964553749992845,Li2FeSO+FeO+Li2Fe4S3O2,-0.004867791574073799,FeO+FeS+Li2S,5a1c650c-8481-4fbf-86ab-6d3fae0b078a,pbe,-5.551867032222223
4,f26065,Li2Fe3(SO)2,0.026440488194437783,Li2FeSO+FeO+Li2Fe4S3O2,-0.0023918571296288604,FeO+FeS+Li2S,113dfd5a-b4c1-42df-b301-e166b93e7025,pbe,-5.549391097777778
