,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,25ac02,Li5FeS3O,0.08598407512500206,Li2SO4+Li2Fe4S3O2+Li2S,0.08126949622222224,Li2SO4+LiFeO2+FeS+Li2S,d886acc8-ca9f-40f4-84a6-37dc93deda21,pbe,-4.507259106
1,8c4762,Li5FeS3O,0.08773985812500218,Li2SO4+Li2Fe4S3O2+Li2S,0.08302527922222236,Li2SO4+LiFeO2+FeS+Li2S,d6a403a3-b586-42fe-a8b2-44004c454b1d,pbe,-4.505503323
2,7fe450,Li5FeS3O,0.09018650612500245,Li2SO4+Li2Fe4S3O2+Li2S,0.08547192722222263,Li2SO4+LiFeO2+FeS+Li2S,0422119e-d588-4d5f-9303-aa673b34ae03,pbe,-4.503056675
3,1bd87f,Li5FeS3O,0.0979562271250023,Li2SO4+Li2Fe4S3O2+Li2S,0.09324164822222247,Li2SO4+LiFeO2+FeS+Li2S,13b3bea6-f3dd-481c-bb42-bff782d078a3,pbe,-4.495286954
4,746821,Li5FeS3O,0.10171884412500276,Li2SO4+Li2Fe4S3O2+Li2S,0.09700426522222294,Li2SO4+LiFeO2+FeS+Li2S,8f7b6c99-fe72-4b18-947f-0020944f87bd,pbe,-4.4915243369999995
