,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,5ab8b1,Li6Fe(SO)2,0.05275524704545553,Li2FeO2+Li2S,0.05275524704545376,Li2FeO2+Li2S,9974a449-2742-4868-892e-0ff86008e2b3,pbe,-4.69500796
1,e4d596,Li6Fe(SO)2,0.06063115704545563,Li2FeO2+Li2S,0.060631157045453854,Li2FeO2+Li2S,9fdc1eaa-a393-43e5-8469-77c6e4bf4235,pbe,-4.68713205
2,0110c3,Li6Fe(SO)2,0.06992284250000136,Li2FeO2+Li2S,0.06992284249999958,Li2FeO2+Li2S,717c452d-4e1d-4d01-b4c5-02f97503bffb,pbe,-4.677840364545454
3,5a9acc,Li6Fe(SO)2,0.07063202250000078,Li2FeO2+Li2S,0.070632022499999,Li2FeO2+Li2S,d8dbd431-7442-4c86-9682-ca6fe36f0260,pbe,-4.677131184545455
4,69b71f,Li6Fe(SO)2,0.08117194022727414,Li2FeO2+Li2S,0.08117194022727237,Li2FeO2+Li2S,613ab705-64e9-4e92-b24d-98e5d8a6bedf,pbe,-4.666591266818181
