# energy dos(up) dos(down)
-6.471800000000000352e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.467849999999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.463889999999999247e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.459929999999999950e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.455979999999999563e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.452020000000000266e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.448059999999999548e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.444109999999999161e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.440149999999999864e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.436199999999999477e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.432240000000000180e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.428279999999999461e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.424329999999999075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.420369999999999777e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.416409999999999059e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.412460000000000093e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.408499999999999375e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.404540000000000077e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.400589999999999691e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.396630000000000393e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.392669999999999675e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.388719999999999288e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.384759999999999991e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.380799999999999272e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.376850000000000307e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.372889999999999588e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.368930000000000291e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.364979999999999905e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.361019999999999186e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.357059999999999889e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.353109999999999502e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.349150000000000205e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.345189999999999486e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.341239999999999100e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.337279999999999802e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.333319999999999084e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.329370000000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.325409999999999400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.321450000000000102e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.317499999999999716e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-6.313540000000000418e+01 0.000000000000000000e+00 -0.000000000000000000e+00
