,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,909788,Li2Fe4S2O3,0.08278726784090384,Li2FeSO+FeO+Li2Fe4S3O2,0.05919716712121126,FeO+FeS+Li2S,115f6eba-1547-48ff-a7b8-cbce6fbc59ed,pbe,-5.711071390909091
1,b24d29,Li2Fe4S2O3,0.0847472851136315,Li2FeSO+FeO+Li2Fe4S3O2,0.06115718439393891,FeO+FeS+Li2S,5b0173c3-5a27-4439-9048-5bb0b3ec16be,pbe,-5.709111373636364
2,40ae92,Li2Fe4S2O3,0.09961187874999489,Li2FeSO+FeO+Li2Fe4S3O2,0.0760217780303023,FeO+FeS+Li2S,66341483-5b7b-4f8a-a9d0-65ae47ef29b9,pbe,-5.69424678
3,5a9d54,Li2Fe4S2O3,0.10211642965908574,Li2FeSO+FeO+Li2Fe4S3O2,0.07852632893939315,FeO+FeS+Li2S,60e3c499-fdf2-47f5-b5bc-fe8dbab14b15,pbe,-5.691742229090909
4,855fe9,Li2Fe4S2O3,0.11516058193181333,Li2FeSO+FeO+Li2Fe4S3O2,0.09157048121212075,FeO+FeS+Li2S,fb06975e-0627-4ac7-952f-e32a9924db5c,pbe,-5.678698076818182
