,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,6893ed,Li4Fe2S4O,0.09678289492424152,Li2SO4+FeS+Li2S,0.09678289492424152,Li2SO4+FeS+Li2S,b46f7e9e-3691-493d-bb21-c13ee1f7a42b,pbe,-4.717876681818182
1,f87316,Li4Fe2S4O,0.10004894674242326,Li2SO4+FeS+Li2S,0.10004894674242326,Li2SO4+FeS+Li2S,523150bb-1ad4-491d-b7aa-8f588427d287,pbe,-4.71461063
2,0ff42f,Li4Fe2S4O,0.11159098946969603,Li2SO4+FeS+Li2S,0.11159098946969603,Li2SO4+FeS+Li2S,2ef1b245-d68b-40b7-b194-df85562d1398,pbe,-4.703068587272727
3,a7c225,Li4Fe2S4O,0.13586002856060553,Li2SO4+FeS+Li2S,0.13586002856060553,Li2SO4+FeS+Li2S,5facd40e-c2ac-4eab-bb14-252803dfafd4,pbe,-4.678799548181818
4,181358,Li4Fe2S4O,0.16162414583333184,Li2SO4+FeS+Li2S,0.16162414583333184,Li2SO4+FeS+Li2S,cc3b2358-3999-4170-93f6-04ee5067dbbc,pbe,-4.6530354309090916
