,resid,formula,e_above_hull,decomp,e_above_hull_known,decomp_known,structure_uuid,functional,e_pa,relax_uuid,original_uuid,relax_label,relax_structure_uuid
13,488a26,Li2Fe3S3O,0.05137685231481548,Li2Fe4S3O2+FeS+Li2S,0.02996780268518595,FeO+FeS+Li2S,c1c6749d-2e64-4c6d-9962-5864f41b6a66,pbe,-5.214487102222222,2f5fca5c-4c16-4e32-af79-22ee26aad5a4,c1c6749d-2e64-4c6d-9962-5864f41b6a66,LFSO-Li2Fe3S3O-200912-161746-488a26 RELAX U=4.0,956e632f-150c-49f3-810e-d7cad1ea1639
14,172baa,Li2Fe3S3O,0.0519706384259262,Li2Fe4S3O2+FeS+Li2S,0.030561588796296668,FeO+FeS+Li2S,014f3a66-741a-44a6-a836-732578b3a926,pbe,-5.213893316111111,fb2108ec-66df-4ac5-90ef-0438a8764b6a,014f3a66-741a-44a6-a836-732578b3a926,LFSO-Li2Fe3S3O-200912-195935-172baa RELAX U=4.0,68b83d50-14b6-4c91-b59e-7262123b4c1d
15,9403b6,Li2Fe4S3O2,8.881784197001252e-16,Li2Fe4S3O2,-0.035032990303029976,FeO+FeS+Li2S,9cf9007b-4ac0-4097-9005-a29fff91d439,pbe,-5.557765273636364,0eb044ae-b073-4ee0-95ef-f2cbbe47adda,9cf9007b-4ac0-4097-9005-a29fff91d439,LFSO-Li2Fe4S3O2-201025-153957-9403b6 RELAX U=4.0,fa776994-0340-4f04-8746-7dc79b114b49
16,fa99d5,Li2Fe4S3O2,0.006648848181819211,Li2Fe4S3O2,-0.028384142121211653,FeO+FeS+Li2S,d765a574-699a-44da-a1ee-366654fb15b0,pbe,-5.551116425454546,08b11a88-e03c-4d11-9de4-ac4f1d449295,d765a574-699a-44da-a1ee-366654fb15b0,LFSO-Li2Fe4S3O2-201025-045759-fa99d5 RELAX U=4.0,4e9f10d8-1d59-4b43-831b-89dd33bace26
17,90fe99,Li2Fe4S3O2,0.030552237727273557,Li2Fe4S3O2,-0.0044807525757573075,FeO+FeS+Li2S,c07ef72f-cd9b-419c-bd08-c461c5ac417c,pbe,-5.527213035909091,5eb350ec-f205-450f-8e04-b2ec1b7f2fd6,c07ef72f-cd9b-419c-bd08-c461c5ac417c,LFSO-Li2Fe4S3O2-201028-015341-90fe99 RELAX U=4.0,a927fd7c-052a-4c78-8404-8cf784b288f2
18,c9a8a0,Li2Fe4S3O2,0.032898419090910735,Li2Fe4S3O2,-0.002134571212120129,FeO+FeS+Li2S,ff95a919-c389-4099-a8ff-baa6417265a5,pbe,-5.524866854545454,841444b5-f3ce-4370-8f18-e41a505b5811,ff95a919-c389-4099-a8ff-baa6417265a5,LFSO-Li2Fe4S3O2-201025-052223-c9a8a0 RELAX U=4.0,b79f7c93-9015-495e-9208-8d0f4fe96c5d
19,f4d5ac,Li2Fe4S3O2,0.06124753727272836,Li2Fe4S3O2,0.026214546969697494,FeO+FeS+Li2S,b855b37d-5f03-48cc-bbd4-010398b3e147,pbe,-5.496517736363637,61341f45-adc7-420b-a340-c31f63143f60,b855b37d-5f03-48cc-bbd4-010398b3e147,LFSO-Li2Fe4S3O2-201025-080545-f4d5ac RELAX U=4.0,5add3f4f-6d68-44be-9a42-3630a14bd7b0
20,cce6fe,Li2Fe4S4O,0.02303228106060562,Li2Fe4S3O2+FeS+Li2S,0.005515785909090631,FeO+FeS+Li2S,63603a2d-24e6-4894-b5a2-c2e6bfe904d3,pbe,-5.269680222727273,c28c3db0-ffa5-40e7-afe6-cb4b4aaff4b6,63603a2d-24e6-4894-b5a2-c2e6bfe904d3,LFSO-Li2Fe4S4O-201023-052738-cce6fe RELAX U=4.0,f76dcf05-4ffa-4664-abff-d652467e891c
21,4386b7,Li2Fe4S4O,0.03862632833333368,Li2Fe4S3O2+FeS+Li2S,0.021109833181818694,FeO+FeS+Li2S,0802a7a3-e1e5-47a9-acd4-781c3db88b85,pbe,-5.254086175454545,22f60af6-f271-40ec-86a1-5c144204d4c3,0802a7a3-e1e5-47a9-acd4-781c3db88b85,LFSO-Li2Fe4S4O-200911-202927-4386b7 RELAX U=4.0,ed56ef6e-a3cb-47d7-b291-787ceb579b81
22,48f66a,Li2Fe4S4O,0.03924027196969693,Li2Fe4S3O2+FeS+Li2S,0.02172377681818194,FeO+FeS+Li2S,e8ea5eca-0ed5-450d-9855-54b61e1227c2,pbe,-5.253472231818182,940563d6-b1d6-4d43-a6fb-6271e10e22b6,e8ea5eca-0ed5-450d-9855-54b61e1227c2,LFSO-Li2Fe4S4O-201024-204810-48f66a RELAX U=4.0,c5795e47-5a4e-4f90-807e-da435c02df8a
23,7c1a6a,Li2Fe4S4O,0.04031403833333336,Li2Fe4S3O2+FeS+Li2S,0.02279754318181837,FeO+FeS+Li2S,59784bbc-3ce3-49f7-bb9b-8bb68d18330f,pbe,-5.2523984654545455,72447008-39a8-4995-9dbb-c202d6e04ef2,59784bbc-3ce3-49f7-bb9b-8bb68d18330f,LFSO-Li2Fe4S4O-201025-014719-7c1a6a RELAX U=4.0,dd5d63aa-9a0d-466b-a247-f103d78f0291
24,87a8a9,Li2Fe4S4O,0.04220550106060639,Li2Fe4S3O2+FeS+Li2S,0.0246890059090914,FeO+FeS+Li2S,a02e7ff4-cdfe-4670-9455-ac303ce1c01b,pbe,-5.250507002727272,9e22461b-89df-48bd-8c67-89833d2bdb44,a02e7ff4-cdfe-4670-9455-ac303ce1c01b,LFSO-Li2Fe4S4O-200911-204055-87a8a9 RELAX U=4.0,a853f51c-f71b-423f-b8b7-281c4261932a
25,3451c2,Li2FeSO,0.0,Li2FeSO,-0.02672386450000097,FeO+Li2S,11f85c2c-27fb-4120-b5d9-8a06bf6771a2,pbe,-5.135917913,c0b4f19c-d4ba-4b2a-a57d-7f2e5c725da4,11f85c2c-27fb-4120-b5d9-8a06bf6771a2,LFSO-Li2FeSO-201025-015107-3451c2 RELAX U=4.0,b993f8f8-51b9-427b-ac05-737b89bf46f1
26,a5f966,Li2FeSO,1.982299999614412e-05,Li2FeSO,-0.026704041500000386,FeO+Li2S,f4f63720-bda7-43ea-90a0-fc08e77626bb,pbe,-5.1358980899999995,4649204a-ced9-405b-8967-b736bb89c7fa,f4f63720-bda7-43ea-90a0-fc08e77626bb,LFSO-Li2FeSO-201023-060305-a5f966 RELAX U=4.0,a9502489-0440-4753-8a3d-d16a414a19aa
