,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,68ece2,Li4Fe3S3O2,0.01807659541666773,Li2FeSO+Li2Fe4S3O2+Li2S,-0.009115135347222747,FeO+FeS+Li2S,ec2fcd8f-e716-4c62-b4e4-be0d032ee022,pbe,-5.169032005
1,f61735,Li4Fe3S3O2,0.035719408750001236,Li2FeSO+Li2Fe4S3O2+Li2S,0.00852767798611076,FeO+FeS+Li2S,e6a9fb5c-a2ff-42ba-91b7-b262f40d19ee,pbe,-5.1513891916666665
2,a1640f,Li4Fe3S3O2,0.038991297916667556,Li2FeSO+Li2Fe4S3O2+Li2S,0.01179956715277708,FeO+FeS+Li2S,a21ddc42-a30c-4b25-bf41-801f04fa3cd0,pbe,-5.1481173025
3,e253e8,Li4Fe3S3O2,0.061445582916667796,Li2FeSO+Li2Fe4S3O2+Li2S,0.03425385215277732,FeO+FeS+Li2S,0519bbb9-0c44-4781-a1fa-2fa805d71d03,pbe,-5.1256630175
4,9507c1,Li4Fe3S3O2,0.07656605625000079,Li2FeSO+Li2Fe4S3O2+Li2S,0.049374325486110315,FeO+FeS+Li2S,26a80351-4f00-4363-a5d0-7320c5a132d1,pbe,-5.110542544166667
