,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,cc74e4,Li5Fe(SO)2,0.04863786125000047,LiFeO2+Li2S,0.04863786124999958,LiFeO2+Li2S,8baf56d8-41f7-44ef-91b9-32493c5d3721,pbe,-4.82201963
1,491c09,Li5Fe(SO)2,0.052725641750000385,LiFeO2+Li2S,0.0527256417499995,LiFeO2+Li2S,871cef8a-60f9-4b34-872e-9d49b85f498b,pbe,-4.8179318495
2,95f238,Li5Fe(SO)2,0.052734297750000714,LiFeO2+Li2S,0.052734297749999826,LiFeO2+Li2S,fff92c92-6157-411d-8479-9abb9179ff25,pbe,-4.8179231934999995
3,a041c4,Li5Fe(SO)2,0.05398646974999988,LiFeO2+Li2S,0.05398646974999899,LiFeO2+Li2S,ec1e8a4e-a159-43b0-8a42-68810ee47d14,pbe,-4.8166710215
4,9667c9,Li5Fe(SO)2,0.07778132425000006,LiFeO2+Li2S,0.07778132424999917,LiFeO2+Li2S,06659b01-5815-4536-a43b-581e01d7c803,pbe,-4.792876167
