,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,a5ffb0,Li4Fe2S3O,0.04579585950000009,Li2Fe4S3O2+Li2S,0.026527714833332716,FeO+FeS+Li2S,893cf8e8-ffc1-45d1-a5f9-f6908de7c8bf,pbe,-4.8103764315
1,4c1544,Li4Fe2S3O,0.050451036000000116,Li2Fe4S3O2+Li2S,0.03118289133333274,FeO+FeS+Li2S,9dc96d2a-2489-4b38-b9c8-a5d33a9034b7,pbe,-4.805721255
2,f347db,Li4Fe2S3O,0.051009381000000076,Li2Fe4S3O2+Li2S,0.0317412363333327,FeO+FeS+Li2S,37144556-ed81-40da-9527-d1081986d419,pbe,-4.80516291
3,d02c4b,Li4Fe2S3O,0.05335184850000019,Li2Fe4S3O2+Li2S,0.03408370383333281,FeO+FeS+Li2S,4720ad8d-b82d-4efc-986c-5d972993b28a,pbe,-4.8028204425
4,76388f,Li4Fe2S3O,0.055334288000000065,Li2Fe4S3O2+Li2S,0.03606614333333269,FeO+FeS+Li2S,1efb3122-f7c9-484a-bc5e-ac10f973bfa2,pbe,-4.800838003
