,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,bec3e8,Li3FeS2O,0.06281190660714486,Li2SO4+Li2Fe4S3O2+Li2S,0.05607679388888798,Li2SO4+LiFeO2+FeS+Li2S,4003b18c-eb0f-475c-823a-125e7574d305,pbe,-4.7852484564285716
1,85645e,Li3FeS2O,0.06668303660714514,Li2SO4+Li2Fe4S3O2+Li2S,0.059947923888888255,Li2SO4+LiFeO2+FeS+Li2S,01c22f7c-ff12-461d-bb3c-ee66c29d0955,pbe,-4.781377326428571
2,78bedd,Li3FeS2O,0.06670067732143092,Li2SO4+Li2Fe4S3O2+Li2S,0.05996556460317404,Li2SO4+LiFeO2+FeS+Li2S,c763cc93-72f5-4a40-a96a-1c5ee22ca52c,pbe,-4.7813596857142855
3,16ce6b,Li3FeS2O,0.06675407303571568,Li2SO4+Li2Fe4S3O2+Li2S,0.06001896031745879,Li2SO4+LiFeO2+FeS+Li2S,cfaedada-d37d-40f8-90c2-f212b9e247ec,pbe,-4.781306290000001
4,48a963,Li3FeS2O,0.0667959887500027,Li2SO4+Li2Fe4S3O2+Li2S,0.06006087603174581,Li2SO4+LiFeO2+FeS+Li2S,52f0292f-a193-40a8-b9b2-6e5798b1ad81,pbe,-4.781264374285714
