,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
0,4a9f72,Li3FeSO2,0.08664264821428347,LiFeO2+Li2S,0.08664264821428524,LiFeO2+Li2S,8b68e437-0419-47d3-81df-ee0433c9ed86,pbe,-5.157723872142857
1,0374d7,Li3FeSO2,0.08767144249999781,LiFeO2+Li2S,0.08767144249999959,LiFeO2+Li2S,1a7a9158-2ba7-49c0-bea1-832673e82cfa,pbe,-5.156695077857143
2,517510,Li3FeSO2,0.10229199821428381,LiFeO2+Li2S,0.10229199821428558,LiFeO2+Li2S,b3e11336-d1f5-437e-96e5-bbd0bca6aa59,pbe,-5.142074522142857
3,0c3aad,Li3FeSO2,0.11111703535714046,LiFeO2+Li2S,0.11111703535714224,LiFeO2+Li2S,c79b89df-0cdf-4c83-8997-0d4f8723b66e,pbe,-5.133249485
4,a0e8d2,Li3FeSO2,0.12435691749999744,LiFeO2+Li2S,0.12435691749999922,LiFeO2+Li2S,b99dbc94-cd0f-43cb-9967-8d6a10b2b548,pbe,-5.120009602857143
