label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li2FeSO-201023-071858-19fc24,10,-400.017013,30.9783292,-0.7193,(R3),FeLi2OS,2
LFSO-Li2FeSO-201023-072228-691f12,15,-400.6730766666667,23.178065666666665,0.0668,(P2),FeLi2OS,3
LFSO-Li2FeSO-201023-072733-1445af,10,-400.185227,15.2139328,-0.0321,(R3),FeLi2OS,2
LFSO-Li2FeSO-201023-073615-654d79,20,-400.7319825,18.90348515,0.0058,(P3),FeLi2OS,4
LFSO-Li2FeSO-201023-074135-579bd2,10,-400.75244200000003,30.231870500000003,0.2756,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-074135-b3ef19,15,-400.5807833333334,17.964693066666666,-0.0143,(C2),FeLi2OS,3
LFSO-Li2FeSO-201023-074331-7519a9,10,-400.695282,22.750191899999997,0.0028,(Cm),FeLi2OS,2
LFSO-Li2FeSO-201023-075749-e6933b,15,-400.73047066666663,15.6332814,-0.0013,(C2),FeLi2OS,3
LFSO-Li2FeSO-201023-081534-d3d5f8,10,-400.6893,16.9093592,0.0078,(Amm2),FeLi2OS,2
LFSO-Li2FeSO-201023-081630-7078b8,5,-400.656336,15.9840092,-0.0051,(Cmm2),FeLi2OS,1
LFSO-Li2FeSO-201023-082630-08d2f6,15,-400.2610506666667,19.069129200000003,0.0575,(Pmm2),FeLi2OS,3
LFSO-Li2FeSO-201023-082749-a6e119,15,-400.6185186666667,18.307473666666667,0.1365,(Cm),FeLi2OS,3
LFSO-Li2FeSO-201023-083012-e32848,5,-400.65087800000003,15.5169286,0.0089,(Pm),FeLi2OS,1
LFSO-Li2FeSO-201023-083012-f7fbc0,10,-400.67643400000003,27.6947862,0.0236,(P2),FeLi2OS,2
LFSO-Li2FeSO-201023-084024-e11c3b,20,-400.6951015,32.749944049999996,0.3464,(C2),FeLi2OS,4
LFSO-Li2FeSO-201023-084321-82fe26,10,-400.3049,15.945465200000001,-0.0466,(P3),FeLi2OS,2
LFSO-Li2FeSO-201023-085240-3f92a2,20,-400.7699325,15.99016875,-0.0387,(Cc),FeLi2OS,4
LFSO-Li2FeSO-201023-085241-ebbb62,15,-400.468532,15.573893933333332,0.0502,(Amm2),FeLi2OS,3
LFSO-Li2FeSO-201023-085850-fd9111,5,-400.64298199999996,13.020400599999999,-0.0024,(P2/m),FeLi2OS,1
LFSO-Li2FeSO-201023-090452-e93bb6,5,-400.65061000000003,15.7815414,0.0049,(Cmm2),FeLi2OS,1
LFSO-Li2FeSO-201023-090903-162e04,5,-400.729054,12.996496200000001,0.0084,(Pmmm),FeLi2OS,1
LFSO-Li2FeSO-201023-090911-4bd288,5,-400.651542,13.4738464,-0.0388,(Amm2),FeLi2OS,1
LFSO-Li2FeSO-201023-091445-f17121,15,-400.63582066666663,15.416324333333334,0.0255,(P32),FeLi2OS,3
LFSO-Li2FeSO-201023-091501-dabe4a,15,-400.591976,17.014548733333335,-0.031,(C2/m),FeLi2OS,3
LFSO-Li2FeSO-201023-091942-1ec1c1,20,-400.4215595,33.717348650000005,0.1927,(C2/c),FeLi2OS,4
LFSO-Li2FeSO-201023-092723-55ac64,15,-400.699724,15.235579933333334,0.0438,(R3),FeLi2OS,3
LFSO-Li2FeSO-201023-092840-23d663,20,-400.7272765,16.6336448,0.0104,(P2),FeLi2OS,4
LFSO-Li2FeSO-201024-131917-0e8a10,20,-400.5196505,20.46352365,-0.0274,(P3),FeLi2OS,4
LFSO-Li2FeSO-201024-133900-ffcffd,5,-400.123936,14.336727400000001,-0.0033,(R3m),FeLi2OS,1
LFSO-Li2FeSO-201024-134423-6fcd75,15,-400.3281666666666,16.225559399999998,0.0015,(P2/m),FeLi2OS,3
LFSO-Li2FeSO-201024-134721-7126ae,20,-400.4608165,21.799547699999998,0.04,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-135124-7c9a4f,5,-400.67978600000004,21.366523,0.0194,(C2),FeLi2OS,1
LFSO-Li2FeSO-201024-135243-7c59d6,10,-400.047226,18.5618475,-0.0022,(P3),FeLi2OS,2
LFSO-Li2FeSO-201024-140606-8f4269,5,-400.36726,14.3479762,-0.0031,(Pmmm),FeLi2OS,1
LFSO-Li2FeSO-201024-140805-79bd50,10,-400.18978000000004,13.8982645,0.1037,(R3),FeLi2OS,2
LFSO-Li2FeSO-201024-141313-f4a0dc,20,-400.69244549999996,22.3882914,-0.0257,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-141555-8676af,15,-400.7299493333333,16.7431834,0.0038,(P-1),FeLi2OS,3
LFSO-Li2FeSO-201024-141922-d97281,20,-400.62793,16.21550105,0.0303,(I212121),FeLi2OS,4
LFSO-Li2FeSO-201024-142108-2049b7,15,-400.80302266666666,15.379542466666667,0.0139,(P32),FeLi2OS,3
LFSO-Li2FeSO-201024-145313-8763e2,15,-400.693258,22.3780788,0.0156,(R3),FeLi2OS,3
LFSO-Li2FeSO-201024-145505-af0fcf,15,-400.78990799999997,21.208311466666665,-0.0113,(P32),FeLi2OS,3
LFSO-Li2FeSO-201024-150259-17a3b0,10,-400.452898,16.136052799999998,-0.0055,(Fmm2),FeLi2OS,2
LFSO-Li2FeSO-201024-151107-c86cb5,5,-400.71653000000003,13.267840000000001,0.0152,(P2/m),FeLi2OS,1
LFSO-Li2FeSO-201024-151443-1c25fc,10,-400.712387,14.064000100000001,-0.0256,(Fdd2),FeLi2OS,2
LFSO-Li2FeSO-201024-151653-9263e3,20,-400.68703,17.775653,0.009,(P4),FeLi2OS,4
LFSO-Li2FeSO-201024-152032-67eca5,20,-400.66027049999997,19.2782594,0.0878,(Pna21),FeLi2OS,4
LFSO-Li2FeSO-201024-152447-4aa3a4,10,-400.351893,15.509404499999999,-0.0455,(R3),FeLi2OS,2
LFSO-Li2FeSO-201024-152743-19abaf,20,-400.8459815,14.860858150000002,0.0434,(Pba2),FeLi2OS,4
LFSO-Li2FeSO-201024-153506-d2cc69,15,-400.46884666666665,31.06166,0.093,(P2),FeLi2OS,3
LFSO-Li2FeSO-201024-153941-2c9998,15,-400.89644599999997,12.835630933333334,-0.0683,(P3221),FeLi2OS,3
LFSO-Li2FeSO-201024-154213-550973,15,-400.7317653333333,16.038677933333336,-0.0289,(Pm),FeLi2OS,3
LFSO-Li2FeSO-201024-154301-bc5d5d,15,-400.7226626666667,14.926181666666668,0.0502,(P31),FeLi2OS,3
LFSO-Li2FeSO-201024-155142-61a231,15,-400.3948986666667,13.6927138,1.0119,(Pmm2),FeLi2OS,3
LFSO-Li2FeSO-201024-155146-6e58cc,5,-400.61215000000004,12.836941200000002,0.0103,(P3m1),FeLi2OS,1
LFSO-Li2FeSO-201024-155843-e99709,15,-400.3673513333333,26.457249866666665,0.0094,(P3),FeLi2OS,3
LFSO-Li2FeSO-201024-160613-cba2f8,5,-400.822444,14.4512454,0.011,(Cm),FeLi2OS,1
LFSO-Li2FeSO-201024-160731-8537ba,20,-400.5922205,21.6209654,0.1792,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-161310-e1cff7,15,-400.8170406666667,15.8016662,0.0358,(Pm),FeLi2OS,3
LFSO-Li2FeSO-201024-161343-9795de,20,-400.653914,23.18442115,-0.0168,(P3),FeLi2OS,4
LFSO-Li2FeSO-201024-161523-d49e96,10,-399.467453,21.6672347,0.0172,(P3),FeLi2OS,2
LFSO-Li2FeSO-201024-161755-4cab00,5,-400.71400800000004,12.943567400000001,0.0152,(P3m1),FeLi2OS,1
LFSO-Li2FeSO-201024-161827-3f5ef9,5,-400.417516,18.770705,-0.0398,(P2/m),FeLi2OS,1
LFSO-Li2FeSO-201024-161949-d880fa,10,-400.54875200000004,24.7626387,0.2377,(Cm),FeLi2OS,2
LFSO-Li2FeSO-201024-162138-1f9b95,10,-400.615854,15.687034399999998,-0.0235,(Cmm2),FeLi2OS,2
LFSO-Li2FeSO-201024-162537-e5313c,10,-400.43253599999997,27.4443534,-0.0281,(C2/m),FeLi2OS,2
LFSO-Li2FeSO-201024-163009-2e4dd0,10,-400.40860899999996,24.209699800000003,0.0705,(R3),FeLi2OS,2
LFSO-Li2FeSO-201024-163035-ee8434,10,-400.825315,14.9064098,0.0163,(Cmm2),FeLi2OS,2
LFSO-Li2FeSO-201024-163257-de90a5,10,-400.757964,14.3162529,-0.0298,(P21212),FeLi2OS,2
LFSO-Li2FeSO-201024-163918-36e99e,15,-400.26625866666666,26.164594333333334,0.3109,(Amm2),FeLi2OS,3
LFSO-Li2FeSO-201024-164245-ebe5fd,10,-400.704564,15.2322202,-0.0023,(Pnc2),FeLi2OS,2
LFSO-Li2FeSO-201024-164316-62d9c6,20,-400.813764,18.253354350000002,0.0245,(P-1),FeLi2OS,4
