label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li2Fe2S2O-201021-234353-cd6c30,7,-452.7720628571428,21.222788428571427,0.0072,(P-1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234427-5000db,14,-452.78256999999996,16.62868507142857,-0.0118,(Aea2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234621-9bcab7,7,-452.8143142857143,17.76816,0.0589,(Cm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234640-56b0b2,14,-452.3425764285715,17.299603214285714,0.026,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234659-e64025,7,-452.6427442857143,22.199125142857145,0.0243,(Amm2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234713-91c35b,21,-452.87985904761905,17.215706142857144,0.2181,(P32),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-234832-b2fccc,14,-452.31494000000004,21.3832355,0.0021,(Pc),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201022-001000-889fdf,21,-452.2664047619047,23.072074047619047,-0.6409,(P222),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201022-001044-10bcf4,7,-452.7266814285714,34.70913514285714,0.1237,(P2/m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-001044-3280dd,7,-452.68636428571426,15.960098,-0.0105,(P3m1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-001044-b25015,7,-452.75935571428573,15.354319285714285,-0.0095,(P3m1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-001822-ac0a16,21,-452.76616,20.184577857142855,-0.4217,(Cm),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201022-001917-06c18b,7,-452.2887942857143,15.068437571428571,0.0275,(Pm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-002015-82a032,14,-452.7405585714286,17.00339042857143,-0.0355,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201022-002107-df915f,21,-452.73289131471427,19.062646333333333,-0.0189,(C2),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201022-002109-2f5d90,21,-452.76513238095237,20.43805780952381,0.0098,(R3),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201022-002109-ad6fab,7,-452.30530714285715,20.524175714285715,0.0317,(P3m1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-002206-7e47d2,14,-452.70268142857145,18.69455407142857,-0.0185,(P3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201022-003012-54c436,7,-452.4350014285714,20.400550000000003,0.0273,(C2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201022-003702-eb3f99,7,-452.63498,19.378228571428572,-0.0061,(Amm2),Fe2Li2OS2,1
